No,Username,Komentar,Sentimen
583,@sppg.cisambeng,ib yaa,😐 Netral
60,@fadhillahhera,mbg anak saya 😁,😐 Netral
28,@kazee_556,"mending jajan di kantin dah, gak beracun",😡 Negatif
434,@devyy2911,sedangkan di aku,😐 Netral
473,@ardisetory2,assalamualaikum warahmatullahi maaf soalnya sama-sama aku udah banyak keracunan nasinya Mama jamuran masuknya jamuran semua keracunan,😡 Negatif
161,@falahmiftah174,kalau masuk media pasti mkn nya bagus,😡 Negatif
191,@sayangmuu015,"kok beda"" menunya",😐 Netral
469,@rizz.409,bukan makanan bergizi adanya makanan beracun,😡 Negatif
101,@rl.clipper79,izin ambil video kak.buat klip,😐 Netral
380,@jju.poyoyoi7,siapa yg dapet spagettiðŸ˜ðŸ¤­,😐 Netral
98,@mihsanalazzain,izin ambil vidio ya mind buat tugas,😐 Netral
580,@fantastic4_1,"warga yang memilih mundur, mohon maaf bu guru, ijin, ke 3 anak saya tidak ambil mbg",😡 Negatif
450,@_mulya72,mangganya menggiurkan. jadi pingin,😊 Positif
136,@barokah4325,jgn terlalu bgs lah min.. kasihan... di lapangan ga sama yg di konten 🙏🏻🙏🏻😃,😡 Negatif
104,@khairaelang,Alhamdulillah MINUTT sudah merasakan sejak senin.makasih kerja kerasnya,😊 Positif
498,@linda03_050,punya gw roti tawarnya penyok njr,😡 Negatif
373,@astungkara69,ENAK BANGET SUSU DAN   ROTI DAN TELUR' NY DAN BUAH NAGA ðŸ™ðŸ»,😊 Positif
124,@affiliatorsuksesnih,ini cuma karena di video sebagus ini aslinya gini kan.yang bener begini kan,😡 Negatif
304,@_mulya72,mangganya menggiurkan. jadi pingin ðŸ¤­ðŸ¤­,😊 Positif
10,@fikastecu00,cisss yang udah pernah dapet anggur Muscat😘😘,😊 Positif
243,@nasipadangenakbanhet,KAAA ENAK BGTTTTT!!!!,😊 Positif
228,@dystore123,"BPJS saya di blokir, ketika mau ke RS harus di pikir pikir dulu @",😐 Netral
259,@friliplenger,izin ninggalin jejak dulu,😐 Netral
126,@botak_yellowie,Pengen bgt mbg begini😭,😊 Positif
572,@sppg.pekuwon,izin copy min,😐 Netral
547,@sisil7408,mbg akuu tadi burger SAMA susu kotak,😐 Netral
118,@ocan3901,mbg 7 hari ku •Kurma 3 biji •Apel 6 biji •Susu 8 biji •Roti 2 biji •telur 2 biji,😐 Netral
425,@saaaa_nis,approve,😊 Positif
344,@meyd190,makanan bergizi tidak   bergizi berracunðŸ˜‚ðŸ˜‚ðŸ˜‚,😡 Negatif
574,@princess_auroree,kak kayanya di SE terbaru gak boleh pake keripik tempe?,😐 Netral
439,@myb29.5,pkoknya MBG harus tutup. ganti kebutuhan pkok murah,😡 Negatif
414,@bangjoe_ipmindonesiaemas,semangat untuk selalu terbaik yahðŸ™ðŸ™ðŸ™,😊 Positif
93,@senfaiy23hsu,telur 2000 telo 1000 kripik 1000 total 4000 sisanya pada kemana 🤣🤣,😡 Negatif
145,@taripratiwi09,padahal aslinya 😭,😡 Negatif
556,@l0vynhiihii,enak bgt menunya,😊 Positif
141,@hamidinthea,mbg di sekolah anaku😂,😐 Netral
273,@arshintand,"kak, itu kok boleh sambel. kemaren suamiku ditegur gegara menunya ayam geprek + sambel",😐 Netral
71,@its_khanza14,mbg orang lain: 🍖🍔🍜🍕🥓🥩 mbg gw: 🍗🥚🍗🥚🍗🥚🍗🥚,😡 Negatif
431,@sardan.yahya,lanjutkan MBG,😊 Positif
112,@halosobat30,ada lawan kah 😅,😐 Netral
345,@sintia.yolanda.ame,halah,😐 Netral
170,@raka_zera,asalamualaikum,😐 Netral
39,@fadilzz544,enak banget kak,😊 Positif
323,@twelast,ga sebanyak itu aslinyaðŸ˜¹,😡 Negatif
164,@elin.linawati09,"bagus,sesuai n banyak",😊 Positif
105,@ardidicky_,Jangan lupa masker yaa kak,😐 Netral
426,@rotioverthink28,request an ku,😐 Netral
44,@nabilanovelsa2,enak bgt tadi menunyaa makasih ya mbg,😊 Positif
50,@anas_al171,tag mbg kalian,😐 Netral
47,@kunyukwisnu8.80,when ya mbg kek gini 🥲🥲🥲,😊 Positif
181,@selly.s8,semangat..lancar...ini pesan... jaga kualitas..sebelum nyampai ke tangan anak2 cek lgi.....biar gk kesalahan lgi.....,😊 Positif
142,@raniputri15081,gk ribet ya itu motong buah ny perasaan banyak,😐 Netral
383,@agastya_lgi,4 sehat 5 kurang min,😡 Negatif
110,@dnaanggunnrni,di seklh aku ngga dapet selama libur ini🥺,😡 Negatif
540,@lazmaha,tag sppg kalian,😐 Netral
121,@leo.15august,gak mungkin 10rb ini budgetnya 😅,😡 Negatif
117,@yaaaaa_0036,tag sppg kalian,😐 Netral
465,@akiyars_3,mbg impiang gw,😊 Positif
20,@cenel.ligish.cene,mapain kasih makan geratis tapi bergizi gak kalo gk bergizi ngapain,😡 Negatif
410,@vnojlskngencsta,request mie ayam plis,😐 Netral
137,@atyaafkari,"ntar besok gua fotoin yah mbg gua , pasti lu semua pada kaget 😭",😡 Negatif
287,@kandangpinggirkalifarm23,"ijin biasanya anggur 2biji itu biasanya yang di tutupi sama tepung roti dalemnya tempe , sayur mayur biasanya asal ada aja ga nyampe bnyak gitu , nasi juga biasanya kaya nasi kucing dikit",😡 Negatif
160,@rikantobuo446,ayam kecap lagi kk . anak aku yg 3thn suka . katanya enakkk🥰 terima kasih sppg biyonga,😊 Positif
493,@17.kepo,KOK BANYAKK?,😐 Netral
216,@henyjafarkue123,nak ajeng derek kerjo caranipun,😐 Netral
417,@rangsangsahid2,inpo lokerr,😐 Netral
513,@ahzadanish172,MBG gw,😊 Positif
313,@akbaralmunawir,SEDANGKAN MBG GUAðŸ—ðŸ³ðŸ—ðŸ³ðŸ—ðŸ³,😐 Netral
374,@liaa_aaa28,tag mbg   kaliann,😐 Netral
549,@0nlyzas,rela guwa abisin klo mbg nya inii,😊 Positif
272,@diki67475,andai stiap menu sppg waras kaya giniðŸ˜…,😊 Positif
221,@aimadhy,ini pas di videoin biar kelihatan bagus nya.. na ini aslinyaðŸ˜ðŸ˜ðŸ˜,😡 Negatif
