No,Username,Komentar,Sentimen
479,@saidatullai,MBGG TUHH GINII!!,😊 Positif
509,@saranfta,yg d bgiin mkan gratis cmn di skolah mahal kah??,😡 Negatif
200,@ristiallan,mbg ku🍗🍳🍗🍳🍗🍳🍗🍗🍳🍳,😊 Positif
194,@uttymayy,Witara gadapet makanan ginii 😭🙏 kapan hari dapet ayam yg dah agak basi gatau tapi sppg nya ngikut manaaa🙏,😡 Negatif
347,@saidatullai,MBGG TUHH   GINII!!,😊 Positif
309,@bilqisalfairatam23,sekolah ku juga,😐 Netral
174,@loveelyy_afifa,di sekolah ku tidak pernah ada MBG 😭😭😭kami memiliki mu MBG 😭,😡 Negatif
391,@chillbel_,wennak,😊 Positif
377,@furiyyy3,ini jg enak kok kakðŸ¤­ðŸ¤­,😊 Positif
201,@lovely.siti_,kenapa sampe sekolah beda porsi nya??😳,😐 Netral
171,@rizz.409,bukan makanan bergizi adanya makanan beracun😂,😡 Negatif
49,@caca092402,sekolah mana yang beruntung itu😭,😊 Positif
271,@myb29.5,pkoknya MBG harus tutup. ganti kebutuhan pkok murah ðŸ˜Ž,😡 Negatif
503,@liaa_aaa28,tag mbg kaliann,😐 Netral
3,@lalumuhyil,andaikan menu mbg gua gini,😊 Positif
446,@saspnty,tagg sppg kalian,😐 Netral
279,@rafy.andre8,bagus ya sppg nyaðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ pencitraan ðŸ˜…ðŸ˜…ðŸ˜…ðŸ˜…,😡 Negatif
147,@deffaira16,apakah ini MBG 😮‍💨,😐 Netral
559,@lolssmanurung,"monday kali yaak, kok Sunday",😐 Netral
86,@avstxr.a,dimsum mentai tpi ada mentai e ka,😐 Netral
406,@nayafatiya01,menu ne enakkk riquest dimsum Mentai susu ne putih,😊 Positif
531,@mairadin,"Wawww masyaallah enak sekali, ini contoh pihak pengelola dan pihak catering amanah",😊 Positif
256,@dekaurel20,"enak nya yang kami gak ada dimsum, salmon, kentang",😡 Negatif
245,@sutiyaningsih768,sekarang enak besuk ngak enak,😡 Negatif
9,@rhenaqill,Pas selesai di vidioin lgsg di kurangin udangnya. 🤣🤣🤣,😡 Negatif
277,@abaselektonikcucigudang,"uang negara habiss ,, gara2 ini",😡 Negatif
488,@canter.hdx45,menu besok itu kak?,😐 Netral
554,@sfanicrkla,sppg orang pada enak enak jirrr ga kyk sppg gua,😡 Negatif
394,@theladyin1,mbg MIN 2 sukabumi dapur MBG surade kabupaten sukabumi. ini anggaran 15 ribu tp anak2 dikasih cuma 7 ribu makanna gk dimakan anak2 gak suka.,😡 Negatif
470,@loveelyy_afifa,di sekolah ku tidak pernah ada MBG kami memiliki mu MBG,😡 Negatif
188,@waketputrisulung.skb.wsa,pasti ini menu buat pejabat yaa. bukan buat anak sekolah,😡 Negatif
491,@srithvyoongi,ada lawan gak,😐 Netral
570,@sppgleterpressmedantimur,Kok masih menggunakan keripik tempe? Padahal sudah dilarang bgn,😡 Negatif
525,@cyl.laww,kok skolahku terlihat mematikan,😡 Negatif
224,@adewsity,nah kalo gini yakin ga di protes ðŸ¥°,😊 Positif
532,@alterntif.shopping,"Hidupp program prabowoo setidak nya uang drasakan oleh para rakyatt bukan di makan untuk prut pribadi, pengangguran merasakan ada nya lapangan kerja dgan gaji yang sangat memuaskan, stidak nya walaupn hanya bisa makan sehari sekali tapi itu lebih dari ckup untuk anak2 yg kurang mampu. Ekonomi rakyat mulai membaik dgan ada nya program prabowo",😊 Positif
413,@nandoxixii,WKWKWKWKWKWKWKWK YANG PKL KAPAN NIHHH???,😐 Netral
530,@zenberyl1,izin save untuk tugas,😐 Netral
52,@shevilla_here,WOY DI GW GA PERNAH MBG BUANYA STOBERI,😡 Negatif
54,@nanac_09,tag sppg kalian 🗿😭,😐 Netral
276,@diki.diko50,"jangan sering pakai telur, saran",😐 Netral
316,@nanac_09,tag sppg kalian ðŸ—¿ðŸ˜­,😐 Netral
115,@kapten_uwil,ini apa wee jelasin😭😭😭,😐 Netral
249,@sardan.yahya,lanjutkan MBG ðŸ‘ðŸ‘,😊 Positif
551,@kecilbener,min pindah Pat ku aja mau ga??,😊 Positif
