Username,Komentar,Sentimen
@misterimisteriuss13,kasihan ihhhh,😡 Negatif
@duarius59,ini bukti dapur MBG ga dikorupsi😁,😊 Positif
@lalumuhyil,andaikan menu mbg gua gini,😊 Positif
@wv__up,sekolah lain : 🍗🍖🍔🍚 sekolah ku : 🥚🍉tahu🥗🍚,😡 Negatif
@sebutsajamar,teman saya masuk rumah sakit gara² dia alergi udang🙏,😡 Negatif
@cia_arja,"Gini baru bener konsep MBG nya, kenapa nggk diberlakukan sama di semua daerah?",😊 Positif
@margaveronce67,MBG kata kawan sekelas bilang nya M: Makanan B: Beracun G: Gratis🗿,😡 Negatif
@kz_yayaww,sekolah lain : 😋🦞🍣🍤🍓🍐🍊🥦🍔 sekolah ku :belum dapett😭,😡 Negatif
@rhenaqill,Pas selesai di vidioin lgsg di kurangin udangnya. 🤣🤣🤣,😡 Negatif
@fikastecu00,cisss yang udah pernah dapet anggur Muscat😘😘,😊 Positif
@namaakumanz,di skolah gw nolak mbg jirr,😡 Negatif
@xrryaa8,mbg di tempat ku,😐 Netral
@moondaayy0,"Suruh gen z yang jadi tim mbg, gen z malas korupsi soalnya",😊 Positif
@ema06714,"pencarianku "" mbg hiu goreng"" 😭",😐 Netral
@fauziaaajaloh,"ANJIR, BEDA AMAT MENU MBG GUA, diki bet jir mbg gua mah,",😡 Negatif
@hend._.69,"konsepnya makanan sehat, tapi suka ada yg keracunan MBG 😑",😡 Negatif
@author_au.2,udah yapping nya??,😐 Netral
@146haekal,ini makan siang gratis dari Jawa Barat kalau Jawa Timur kalau Jawa Tengah?,😐 Netral
@autor_lokal,dia yg bilang sendiri makan gratis bukan makan bergizi,😡 Negatif
@cenel.ligish.cene,mapain kasih makan geratis tapi bergizi gak kalo gk bergizi ngapain,😡 Negatif
@xxywikk,pak/buu request lauknya ayam laos🤭,😐 Netral
@cil.aza,"kalo emang niat ngasihnya yg bersih + wangi dong apaan tempat nya aja bau banget apalgi sayur nya, blm lagi nasi kuningnya wkwk rasa apaan itu nasi kuning",😡 Negatif
@eriver___,:v,😐 Netral
@cherry_v31,Lah,😐 Netral
@tiaamri_,“Klo kurang kenyang bisa makan lagi di rumah” 😅,😡 Negatif
@kamunanya1234bhd,T-tapi itu kayak di restoran sedangkan kami yang penting makan😭😭😢,😡 Negatif
@sha2nhady,klo statmen nya begitu ngapain lu cape2 ngadain makanan nya lebih baik duit 15.000 kasih ke ortu nya buat bekal makan d sekolah pasti bakalan mewah,😡 Negatif
@kazee_556,"mending jajan di kantin dah, gak beracun",😡 Negatif
